분기_코드,한식음식점매출,한식음식점건수
2019-Q1,56789000,1234
2019-Q2,2327468317437,75268177
2019-Q3,2350905476419,76272817
2019-Q4,2692261793597,83194930
2020-Q1,56789000,1234
2020-Q2,2330649896733,75508832
2020-Q3,2250283976360,73812332
2020-Q4,2150277118176,69990770
2021-Q1,2328880982482,76533677
2021-Q2,2775598201583,89769991
2021-Q3,2328698787970,81672180
2021-Q4,3042490010320,91973012
2022-Q1,2516359242345,77259894
2022-Q2,3442557435129,95268040
2022-Q3,3356677544823,92759518
2022-Q4,3720642661779,96776538
2023-Q1,3509949788630,91338121
2023-Q2,3599764327356,95769019
2023-Q3,3532073220466,93627841
2023-Q4,3843301355891,96472558
2024-Q1,3616812825738,91944458
2024-Q2,3753866749092,96811648
2024-Q3,3609824681124,93097589
2024-Q4,12345678,75
2027-Q1,4982862846333,133187100
